Date	BTC	GOLD	S&P500
2020-03-18	5363.8228532507	1477.9	2401.4
2020-03-17	5465.582594124	1524.9	2485.5
2020-03-16	4944.7023359837	1486.5	2405.3
2020-03-13	5672.6812010316	1516.7	2683.9
2020-03-12	5800.2089048343	1590.3	2468.9
2020-03-11	7955.3062841815	1642.3	2740.3
2020-03-10	7959.2282742121	1659.1	2865.8
2020-03-09	7875.7508752183	1675.7	2747.7
2020-03-06	9126.6368222216	1672.4	2964.1
2020-03-05	9078.5787771302	1666.4	3015.5
2020-03-04	8756.9610624113	1643	3114.7
2020-03-03	8791.1120581303	1642.1	2997.1
2020-03-02	8923.0443982559	1592.3	3065.1
2020-02-28	8778.4705108021	1564.1	2951.1
2020-02-27	8784.9953524383	1642.5	2956.9
2020-02-26	8787.9783631624	1643.1	3110.2
2020-02-25	9392.8696287195	1650	3132.6
2020-02-24	9640.4695050585	1676.6	3226.3
2020-02-21	9670.8586543715	1644.6	3339.3
2020-02-20	9631.4849459561	1620.5	3369.2
2020-02-19	9701.0371914987	1611.8	3387.2
2020-02-18	10189.9959829746	1600	3369.3
2020-02-14	10367.5279981077	1582.7	3380.9
2020-02-13	10218.0997373046	1578.8	3377.4
2020-02-12	10364.9262882252	1571.6	3380.5
2020-02-11	10236.6351482326	1565.6	3357.6
2020-02-10	9838.9000162764	1579.5	3353
2020-02-07	9795.3440659492	1568.6	3325.5
2020-02-06	9681.3774113095	1570	3345.2
2020-02-05	9625.4566372011	1562.8	3335
2020-02-04	9177.8946372066	1555.5	3299.5
2020-02-03	9269.7070348447	1582.4	3245.6
2020-01-31	9388.8807518859	1582.9	3224
2020-01-30	9545.0779565894	1589.2	3289.7
2020-01-29	9320.9784062486	1576	3272.4
2020-01-28	9131.1149880642	1575.8	3278.3
2020-01-27	8881.9623914604	1583.7	3239.6
2020-01-24	8451.2322960209	1571.1	3293.5
2020-01-23	8384.0887767671	1571.6	3326
2020-01-22	8635.0743569587	1556.7	3319.8
2020-01-21	8708.786013433	1556.4	3319.5
2020-01-17	8925.2990284456	1558.8	3324.9
2020-01-16	8711.6375778988	1550.5	3316.4
2020-01-15	8843.6757322237	1554	3293.8
2020-01-14	8735.1424391365	1544.6	3287.9
2020-01-13	8116.9610079465	1550.6	3289.7
2020-01-10	8087.4528852359	1557.5	3264.7
2020-01-09	7808.7013638165	1554.3	3275.9
2020-01-08	8067.6063690564	1560.2	3260.2
2020-01-07	8039.6037008183	1574.3	3235.3
2020-01-06	7713.8607536496	1568.8	3243.6
2020-01-03	7291.2195053189	1549.2	3235.4
2020-01-02	6955.4875796712	1528.1	3259
2019-12-31	7179.9578192867	1519.5	3231.1
2019-12-30	7251.2767943228	1518.6	3223.4
2019-12-27	7227.2937116818	1518.1	3237.6
2019-12-26	7183.7065360296	1514.4	3244.4
2019-12-24	7235.6266504955	1499.1	3225.7
2019-12-23	7166.1723785327	1488.7	3227.2
2019-12-20	7139.9333705301	1474.7	3225.7
2019-12-19	7147.5683237876	1478.2	3211.7
2019-12-18	7424.0154002314	1478.7	3199.3
2019-12-17	6584.0288433458	1480.6	3195.4
2019-12-16	6883.4963937703	1480.5	3198.4
2019-12-13	7238.8743229875	1475.6	3175.2
2019-12-12	7190.2723692612	1472.3	3167.9
2019-12-11	7198.0666770463	1475	3143.1
2019-12-10	7239.762575441	1462.6	3136
2019-12-09	7333.0960431601	1464.9	3134.5
2019-12-06	7511.8805831153	1459.1	3146.1
2019-12-05	7398.7870496069	1483.1	3117.7
2019-12-04	7213.7337617194	1480.2	3111.1
2019-12-03	7315.3677645579	1478.2	3091.1
2019-12-02	7333.4329304881	1469.2	3114.2
2019-11-29	7729.265938935	1472.7	3143.7
2019-11-27	7523.4806726005	1453.4	3153.8
2019-11-26	7141.0694486947	1467.4	3143.7
2019-11-25	7211.8618087461	1463.8	3132.7
2019-11-22	7262.1105349483	1468.8	3111.6
2019-11-21	7612.7405735024	1470.5	3103.9
2019-11-20	8074.8431736099	1470	3109
2019-11-19	8118.4885358003	1473.3	3118.5
2019-11-18	8205.8063659942	1471.9	3121.8
2019-11-15	8500.6435581622	1467.3	3118.3
2019-11-14	8656.970922354	1473.4	3096.9
2019-11-13	8749.520591019	1463.3	3095.6
2019-11-12	8760.8927181435	1452.1	3091.9
2019-11-11	8711.5343391679	1457.1	3087.4
2019-11-08	8794.3586445233	1461.3	3090.6
2019-11-07	9226.4858208826	1464.2	3085.9
2019-11-06	9335.7524023305	1493.1	3075.6
2019-11-05	9326.5996237841	1483.7	3071.9
2019-11-04	9369.6280811552	1511.1	3075.7
2019-11-01	9197.6323446207	1508	3063.2
2019-10-31	9131.4106303055	1514.8	3035.8
2019-10-30	9225.9954793378	1493.2	3047.8
2019-10-29	9455.7246926058	1490.7	3035.7
2019-10-28	9458.2233596272	1495.8	3036.3
2019-10-25	8591.2238974163	1499.5	3020.3
2019-10-24	7460.6174159279	1504.7	3004.2
2019-10-23	7420.4158364928	1495.7	3005.7
2019-10-22	8073.4095438836	1487.5	2994.5
2019-10-21	8200.2460994923	1488.1	3006.5
2019-10-18	7970.2394756046	1488.2	2988.2
2019-10-17	8058.0580811125	1498.3	2997.9
2019-10-16	8003.8203947876	1494	2991.4
2019-10-14	8337.8189985374	1497.6	2965.5
2019-10-11	8320.1715813968	1488.7	2970.8
2019-10-10	8582.1445177037	1500.9	2941.1
2019-10-09	8572.3808124348	1512.8	2918.9
2019-10-08	8201.6378181926	1497.2	2892.6
2019-10-07	8236.2083793045	1504.4	2937.5
2019-10-04	8163.9026381024	1506.2	2951
2019-10-03	8203.8438327979	1513.8	2911.8
2019-10-02	8273.4640176573	1501	2880.6
2019-10-01	8333.6891904217	1489	2937.8
2019-09-30	8241.3414700027	1472.9	2978.5
2019-09-27	8195.2106969967	1506.4	2963.8
2019-09-26	8103.2108995944	1515.2	2980.5
2019-09-25	8438.7085524873	1512.3	2986.3
2019-09-24	8688.9735259572	1532.1	2970.2
2019-09-23	9719.7186961077	1531.5	2997.1
2019-09-20	10138.3352052234	1507.3	2989.5
2019-09-19	10223.5055788024	1506.2	3007.9
2019-09-18	10168.2877093815	1515.8	3008.6
2019-09-17	10231.4215119596	1513.4	3007.9
2019-09-16	10301.6596516938	1503.1	3001.5
2019-09-13	10299.4769604855	1490.9	3008.6
2019-09-12	10396.7672047403	1507.4	3011.8
2019-09-11	10152.7529840771	1503.2	3002
2019-09-10	10082.9468264833	1499.2	2978.5
2019-09-09	10332.9421881057	1511.1	2978.2
2019-09-06	10334.0238858467	1506.2	2980.8
2019-09-05	10576.3178915251	1525.5	2972
2019-09-04	10555.0469008368	1560.4	2938.5
2019-09-03	10691.31129913	1555.9	2905.9
2019-08-30	9590.7363369227	1529.2	2942
2019-08-29	9487.9764335192	1536.9	2926.7
2019-08-28	9743.1620510451	1549.1	2889.8
2019-08-27	10122.1965329581	1551.8	2865.4
2019-08-26	10312.2150398496	1537.2	2883.3
2019-08-23	10364.2813536875	1537.6	2855.6
2019-08-22	10161.1647494901	1497.3	2922.3
2019-08-21	10064.9167944793	1515.7	2929.2
2019-08-20	10818.5070076193	1515.7	2898.2
2019-08-19	10774.8103058331	1511.6	2923.7
2019-08-16	10388.4505925604	1523.6	2891.5
2019-08-15	10386.5395500195	1531.2	2848.6
2019-08-14	10211.4985816982	1527.8	2840.7
2019-08-13	10869.3791128623	1514.1	2932
2019-08-12	11391.9686539038	1517.2	2880.3
2019-08-09	11827.5745716918	1508.5	2919.7
2019-08-08	11817.4554825164	1509.5	2940.1
2019-08-07	11956.0472230184	1507.3	2880.6
2019-08-06	11310.187223605	1484.2	2876
2019-08-05	11811.7870541507	1464.6	2830.1
2019-08-02	10513.9114715942	1457.5	2932.4
2019-08-01	10385.2006061246	1432.4	2951.9
2019-07-31	10005.2944733245	1437.8	2982.3
2019-07-30	9572.735371803	1441.8	3012.3
2019-07-29	9506.704273142	1433.3	3021.8
2019-07-26	9812.2263505784	1432.2	3024.5
2019-07-25	9897.4293515161	1427.5	3006.5
2019-07-24	9771.5047613175	1436.5	3021.6
2019-07-23	10027.5326122485	1421.7	3008
2019-07-22	10285.6392306749	1426.9	2989
2019-07-19	10466.2609381509	1426.7	2976.9
2019-07-18	10603.3488731713	1428.1	2997.6
2019-07-17	9733.1321340919	1421.3	2985
2019-07-16	9490.4105157548	1411.2	3007
2019-07-15	10934.4827395525	1413.5	3017.3
2019-07-12	11802.9599635884	1412.2	3015.4
2019-07-11	11324.1446969751	1406.7	3003.9
2019-07-10	12054.1837934894	1412.5	2997.4
2019-07-09	12575.904067439	1400.5	2982.1
2019-07-08	12335.9993946484	1400	2978.6
2019-07-05	10946.2090547386	1400.1	2990.4
2019-07-03	11942.2402247929	1420.9	3000.3
2019-07-02	10800.1301399504	1408	2979.6
2019-07-01	10454.6838183291	1385.6	2967.7
2019-06-28	12316.9530120207	1409.7	2944.2
2019-06-27	11086.2688286526	1412	2930.9
2019-06-26	12444.9258599878	1411.6	2917.9
2019-06-25	11665.4096837335	1418.7	2922.1
2019-06-24	10996.4597495353	1418.2	2952.1
2019-06-21	9906.407965055	1400.1	2950.6
2019-06-20	9559.9006885716	1396.9	2960
2019-06-19	9259.1236383919	1348.8	2933.4
2019-06-18	9012.4878496522	1350.7	2926.2
2019-06-17	9346.9750871976	1342.9	2896.3
2019-06-14	8667.7879539941	1344.5	2894.8
2019-06-13	8256.7200994618	1343.7	2894.4
2019-06-12	8151.7886797815	1336.8	2881
2019-06-11	7903.6252503798	1331.2	2886.9
2019-06-10	7954.0062377205	1329.3	2889.2
2019-06-07	8030.2560794416	1346.1	2874.9
2019-06-06	7730.8817258862	1342.7	2845.7
2019-06-05	7790.3211349552	1333.6	2827.7
2019-06-04	7645.5725139007	1323.4	2804.9
2019-06-03	8474.0482291229	1327.9	2749.6
2019-05-31	8513.2038819334	1311.1	2752.6
2019-05-30	8287.0402563223	1287.1	2790.4
2019-05-29	8672.4001072907	1286.3	2780.1
2019-05-28	8719.3314849999	1282.5	2805.1
2019-05-24	8038.5067907549	1289.2	2831.8
2019-05-23	7903.8469103955	1291	2819.4
2019-05-22	7723.9038796248	1274.2	2857.4
2019-05-21	7961.1287431622	1273.2	2866.1
2019-05-20	7917.0124987984	1277.3	2843.9
2019-05-17	7243.650538964	1275.7	2862
2019-05-16	7820.0762428219	1286.2	2878.6
2019-05-15	8177.4535191838	1297.8	2855
2019-05-14	7928.4174163467	1296.3	2839.2
