,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,correct_model
0,103.0,0.92,0.0,1.0,0.0,2.0,0.0,10.0,10.0,3.0,4.0,28.0,0.0,logistic_regression
1,150.0,0.698,0.0,0.0,0.0,2.0,0.0,9.0,2463.0,3.0,4.0,64.0,1.0,random_forest
2,21.0,0.624,0.0,0.0,2.0,1.0,0.0,5.0,1739.0,3.0,0.0,14.0,1.0,random_forest
3,103.0,0.92,0.0,1.0,0.0,2.0,0.0,10.0,1.0,3.0,2.0,41.0,0.0,logistic_regression
4,21.0,0.624,2.0,1.0,0.0,3.0,0.0,21.0,2687.0,2.0,5.0,58.0,0.0,logistic_regression
5,127.0,0.745,0.0,0.0,0.0,3.0,0.0,6.0,2473.0,3.0,1.0,80.0,1.0,random_forest
6,16.0,0.91,0.0,0.0,2.0,2.0,0.0,9.0,2600.0,3.0,1.0,23.0,1.0,random_forest
7,21.0,0.624,0.0,1.0,0.0,2.0,0.0,5.0,10000.0,3.0,2.0,29.0,1.0,random_forest
8,24.0,0.698,0.0,1.0,2.0,3.0,0.0,3.0,50.0,4.0,2.0,45.0,0.0,random_forest
9,103.0,0.92,0.0,0.0,1.0,1.0,0.0,3.0,2025.0,3.0,1.0,24.0,1.0,random_forest
10,103.0,0.92,2.0,1.0,0.0,2.0,0.0,8.0,2113.0,2.0,0.0,50.0,1.0,random_forest
11,21.0,0.624,0.0,1.0,0.0,2.0,0.0,15.0,10000.0,3.0,0.0,17.0,0.0,logistic_regression
12,160.0,0.92,0.0,1.0,0.0,2.0,0.0,18.0,1942.0,2.0,1.0,198.0,1.0,random_forest
13,21.0,0.624,0.0,0.0,0.0,2.0,0.0,1.0,2190.0,3.0,1.0,56.0,1.0,random_forest
14,160.0,0.92,0.0,1.0,0.0,3.0,0.0,21.0,2453.0,3.0,5.0,55.0,0.0,logistic_regression
15,160.0,0.92,1.0,0.0,2.0,2.0,0.0,9.0,2214.0,3.0,1.0,12.0,0.0,logistic_regression
16,101.0,0.5579999999999999,0.0,0.0,2.0,2.0,0.0,2.0,1448.0,3.0,0.0,46.0,0.0,random_forest
17,103.0,0.92,0.0,1.0,0.0,3.0,0.0,15.0,2725.0,3.0,5.0,42.0,1.0,random_forest
18,21.0,0.624,0.0,1.0,0.0,3.0,0.0,9.0,10000.0,3.0,1.0,7.0,1.0,random_forest
19,21.0,0.624,0.0,1.0,2.0,2.0,0.0,7.0,100.0,3.0,2.0,12.0,0.0,logistic_regression
20,21.0,0.624,0.0,0.0,1.0,4.0,0.0,8.0,10.0,3.0,4.0,34.0,0.0,random_forest
21,21.0,0.624,0.0,1.0,0.0,2.0,0.0,6.0,50.0,3.0,1.0,43.0,0.0,logistic_regression
22,83.0,0.923,0.0,0.0,0.0,3.0,3.0,1.0,2364.0,3.0,1.0,74.0,1.0,random_forest
23,160.0,0.92,0.0,0.0,2.0,2.0,0.0,4.0,2147.0,3.0,0.0,38.0,1.0,random_forest
24,21.0,0.624,0.0,0.0,2.0,1.0,0.0,1.0,1691.0,3.0,0.0,9.0,1.0,random_forest
25,11.0,0.55,0.0,1.0,0.0,2.0,0.0,6.0,1.0,3.0,2.0,138.0,0.0,logistic_regression
26,103.0,0.92,0.0,1.0,0.0,2.0,5.0,21.0,1648.0,2.0,1.0,51.0,1.0,random_forest
27,21.0,0.624,0.0,1.0,0.0,2.0,0.0,14.0,500.0,3.0,1.0,4.0,0.0,logistic_regression
